"receiver_player_id","receiver_player_name","posteam","season","numGames","totalEPA","avgEPA","totalTD","numTgt","numRec","numYards","numFD","FDperTgt","recPerGame","tgtPerGame","yardsPerGame","catchPct","YAC","YACperRec","aDoT","player","tgt_share","wr_rank","num_rz_opps","conversion","explosive_rate","player_position","avg_separation","avg_intended_air_yards","catch_percentage","yac_above_expected","third_down_targets","third_down_conversions","third_down_rate","EPA_rank","td_rank","tgt_rank","YPG_rank","conversion_rank","explosive_rank","sep_rank","intended_air_rank","catch_rank","third_down_rank","yacOE_rank","yac_rank","myRank","myRankNum","TE_tier"
"00-0033288","G.Kittle","SF",2024,15,67.9449277441953,0.722818380257396,8,94,78,1106,50,0.531914893617021,5.2,6.26666666666667,73.7333333333333,0.829787234042553,522,6.69230769230769,8.51063829787234,"George Kittle",0.186878727634195,2,21,0.381,0.297872340425532,"TE",3.6687232411122,8.3182414654396,84.8282534053811,2.02027496357892,30,17,0.566666666666667,1,0.964285714285714,0.903846153846154,1,0.745454545454545,1,0.5,0.839285714285714,0.946428571428571,0.87037037037037,0.964285714285714,0.964285714285714,0.903818681318681,1,1
"00-0033288","G.Kittle","SF",2019,14,58.1154077846601,0.543134652193085,5,107,85,1053,53,0.495327102803738,6.07142857142857,7.64285714285714,75.2142857142857,0.794392523364486,602,7.08235294117647,5.91588785046729,"George Kittle",0.255980861244019,1,17,0.118,0.233644859813084,"TE",3.2711435991761,5.87734106826531,77.417798895259,1.43483318524106,34,18,0.529411764705882,0.983870967741935,0.741935483870968,1,0.983870967741935,0.155172413793103,0.819672131147541,0.596774193548387,0.258064516129032,0.790322580645161,0.838709677419355,0.790322580645161,0.951612903225806,0.894588919650356,1,1
"00-0034351","D.Goedert","PHI",2022,12,45.1879870728172,0.654898363374162,3,69,55,702,41,0.594202898550725,4.58333333333333,5.75,58.5,0.797101449275362,420,7.63636363636364,6.14492753623188,"Dallas Goedert",0.169950738916256,3,10,0.2,0.318840579710145,"TE",3.5028560226118,5.8752414021164,80.1874856222682,0.791256136745554,11,8,0.727272727272727,0.984615384615385,0.676923076923077,0.851063829787234,0.984615384615385,0.338709677419355,0.967213114754098,0.492307692307692,0.353846153846154,0.907692307692308,0.953125,0.738461538461539,0.96875,0.893991560736961,1,1
"00-0030506","T.Kelce","KC",2016,16,70.7510044384966,0.59958478337709,4,118,85,1127,55,0.466101694915254,5.3125,7.375,70.4375,0.720338983050847,633,7.44705882352941,6.70940170940171,"Travis Kelce",0.203799654576857,1,19,0.158,0.271186440677966,"TE",2.90102524665083,7.59582914122914,72.4094424094424,0.561603522976857,29,18,0.620689655172414,1,0.583333333333333,0.9375,1,0.258620689655172,0.928571428571429,0.633333333333333,0.416666666666667,0.8,0.833333333333333,0.9,0.916666666666667,0.8905736863711,1,1
"00-0030506","T.Kelce","KC",2018,16,69.2335993490991,0.458500657941054,10,151,103,1336,68,0.450331125827815,6.4375,9.4375,83.5,0.682119205298013,568,5.51456310679612,9.16666666666667,"Travis Kelce",0.247947454844007,1,27,0.333,0.264900662251656,"TE",2.85605014074628,8.83374237838185,67.4134374397532,1.24432060491669,32,21,0.65625,1,0.982456140350877,1,0.982456140350877,0.607142857142857,0.87719298245614,0.31578947368421,0.701754385964912,0.578947368421053,0.875,0.824561403508772,0.68421052631579,0.889665570175439,1,1
"00-0033288","G.Kittle","SF",2018,16,65.3505276290603,0.473554548036668,5,138,88,1379,60,0.434782608695652,5.5,8.625,86.1875,0.63768115942029,870,9.88636363636364,7.3235294117647,"George Kittle",0.237931034482759,1,21,0.095,0.22463768115942,"TE",3.44592088434308,7.32548977231918,64.700172376643,2.64554388455769,29,15,0.517241379310345,0.982456140350877,0.754385964912281,0.959183673469388,1,0.25,0.754385964912281,0.68421052631579,0.473684210526316,0.350877192982456,0.767857142857143,0.947368421052632,0.982456140350877,0.888434756842846,2,1
"00-0030506","T.Kelce","KC",2020,15,75.2199116117118,0.515204874052821,11,146,105,1418,79,0.541095890410959,7,9.73333333333333,94.5333333333333,0.719178082191781,587,5.59047619047619,8.57241379310345,"Travis Kelce",0.234349919743178,1,22,0.455,0.26027397260274,"TE",3.1477018219603,8.44409674680364,74.1043885871472,0.873240274158519,41,22,0.536585365853659,1,0.982758620689655,0.982142857142857,1,0.807017543859649,0.929824561403509,0.568965517241379,0.620689655172414,0.741379310344828,0.68421052631579,0.775862068965517,0.775862068965517,0.888031988613249,1,1
"00-0033288","G.Kittle","SF",2023,16,59.676164191566,0.6630684910174,6,90,65,1020,43,0.477777777777778,4.0625,5.625,63.75,0.722222222222222,483,7.43076923076923,9.46666666666667,"George Kittle",0.182555780933063,3,13,0.231,0.288888888888889,"TE",3.45994399353847,8.93918050636232,68.7222878131969,2.78698637851602,17,9,0.529411764705882,1,0.898305084745763,0.892857142857143,0.966101694915254,0.421052631578947,1,0.457627118644068,0.932203389830508,0.389830508474576,0.719298245614035,0.932203389830508,0.983050847457627,0.886524355504914,1,1
"00-0030506","T.Kelce","KC",2022,17,66.0368867063753,0.43161363860376,12,153,110,1340,78,0.509803921568627,6.47058823529412,9,78.8235294117647,0.718954248366013,657,5.97272727272727,7.06578947368421,"Travis Kelce",0.225,1,32,0.312,0.209150326797386,"TE",3.04335496174917,7.3010159771511,75.3048587856195,1.3428666201744,39,22,0.564102564102564,1,0.969230769230769,0.957446808510638,1,0.580645161290323,0.770491803278688,0.261538461538462,0.569230769230769,0.784615384615385,0.875,0.938461538461538,0.796875,0.880494465368517,2,1
"00-0033288","G.Kittle","SF",2022,15,39.6072864568471,0.460549842521478,11,86,60,765,36,0.418604651162791,4,5.73333333333333,51,0.697674418604651,386,6.43333333333333,6.3953488372093,"George Kittle",0.176229508196721,3,16,0.312,0.244186046511628,"TE",3.2623805465699,7.4269246670642,73.7000596302922,1.55336702254907,27,16,0.592592592592593,0.969230769230769,1,0.893617021276596,0.923076923076923,0.580645161290323,0.934426229508197,0.384615384615385,0.615384615384615,0.723076923076923,0.890625,0.953846153846154,0.890625,0.870300513375755,3,1
