season,team,full_name,position,jersey_number,depth_chart_position,depth_chart_order,week,formation,position_group,years_exp,height,weight,college,depth_chart_position_clean
2020,HOU,Keke Coutee,WR,88,WR,1,18,Offense,Wide Receiver,NA,NA,NA,NA,WR1
2020,HOU,Will Fuller,WR,3,WR,1,13,Offense,Wide Receiver,NA,NA,NA,NA,WR1
2020,HOU,Chad Hansen,WR,82,WR,2,18,Offense,Wide Receiver,NA,NA,NA,NA,WR2
2020,HOU,Kenny Stills,WR,12,WR,2,13,Offense,Wide Receiver,NA,NA,NA,NA,WR2
2020,HOU,Randall Cobb,WR,18,WR,2,12,Offense,Wide Receiver,NA,NA,NA,NA,WR2
2020,HOU,Steven Mitchell,WR,11,WR,2,16,Offense,Wide Receiver,NA,NA,NA,NA,WR2
2020,HOU,Isaiah Coulter,WR,82,WR,3,18,Offense,Wide Receiver,NA,NA,NA,NA,WR3
2020,IND,Ryan Kelly,C,78,C,1,18,Offense,Offensive Line,NA,NA,NA,NA,C
2020,IND,Danny Pinter,C,63,C,2,18,Offense,Offensive Line,NA,NA,NA,NA,C2
2020,IND,Kenny Moore,CB,23,NB,1,18,Defense,Defensive Back,NA,NA,NA,NA,CB1
2020,IND,T.J. Carrie,CB,27,CB,1,18,Defense,Defensive Back,NA,NA,NA,NA,CB1
2020,IND,Xavier Rhodes,CB,39,CB,1,18,Defense,Defensive Back,NA,NA,NA,NA,CB1
2020,IND,Isaiah Rodgers,CB,34,NB,2,18,Defense,Defensive Back,NA,NA,NA,NA,CB2
2020,IND,Rock Ya-Sin,CB,33,CB,2,18,Defense,Defensive Back,NA,NA,NA,NA,CB2
2020,IND,Tremon Smith,CB,1,CB,2,18,Defense,Defensive Back,NA,NA,NA,NA,CB2
2020,IND,Denico Autry,DE,96,DE,1,18,Defense,Defensive Line,NA,NA,NA,NA,DE1
2020,IND,Al-Quadin Muhammad,DE,97,DE,2,18,Defense,Defensive Line,NA,NA,NA,NA,DE2
2020,IND,Kemoko Turay,DE,52,DE,2,18,Defense,Defensive Line,NA,NA,NA,NA,DE2
2020,IND,Tyquan Lewis,DE,94,DT,2,18,Defense,Defensive Line,NA,NA,NA,NA,DE2
2020,IND,Ben Banogu,DE,94,DE,3,18,Defense,Defensive Line,NA,NA,NA,NA,DE3
2020,IND,DeForest Buckner,DT,99,DT,1,18,Defense,Defensive Line,NA,NA,NA,NA,DT1
2020,IND,Grover Stewart,DT,90,NT,1,18,Defense,Defensive Line,NA,NA,NA,NA,DT1
2020,IND,Taylor Stallworth,DT,97,NT,2,18,Defense,Defensive Line,NA,NA,NA,NA,DT2
2020,IND,Eli Ankou,DT,51,NT,3,6,Defense,Defensive Line,NA,NA,NA,NA,DT3
2020,IND,Sheldon Day,DT,52,DT,3,11,Defense,Defensive Line,NA,NA,NA,NA,DT3
2020,IND,Julian Blackmon,FS,32,FS,1,18,Defense,Defensive Back,NA,NA,NA,NA,FS
2020,IND,Malik Hooker,FS,28,FS,1,3,Defense,Defensive Back,NA,NA,NA,NA,FS
2020,IND,George Odum,FS,30,FS,2,18,Defense,Defensive Back,NA,NA,NA,NA,FS
2020,IND,Ibraheim Campbell,FS,36,SS,3,6,Defense,Defensive Back,NA,NA,NA,NA,FS
2020,IND,Mark Glowinski,G,64,RG,1,18,Offense,Offensive Line,NA,NA,NA,NA,LG
2020,IND,Quenton Nelson,G,56,LG,1,18,Offense,Offensive Line,NA,NA,NA,NA,LG
2020,IND,Rodrigo Blankenship,K,15,PK,1,18,Special Teams,Kicker,NA,NA,NA,NA,K
2020,IND,Luke Rhodes,LS,46,LS,1,18,Special Teams,Long Snapper,NA,NA,NA,NA,LS
2020,IND,Anthony Walker,MLB,6,MLB,1,18,Defense,Linebacker,NA,NA,NA,NA,ILB
2020,IND,Bobby Okereke,MLB,58,SAM,1,18,Defense,Linebacker,NA,NA,NA,NA,ILB
2020,IND,Shaquille Leonard,MLB,53,WLB,1,18,Defense,Linebacker,NA,NA,NA,NA,ILB
2020,IND,Justin Houston,OLB,52,DE,1,18,Defense,Linebacker,NA,NA,NA,NA,OLB1
2020,IND,E.J. Speed,OLB,45,SAM,2,18,Defense,Linebacker,NA,NA,NA,NA,OLB2
2020,IND,Matthew Adams,OLB,49,WLB,2,18,Defense,Linebacker,NA,NA,NA,NA,OLB2
2020,IND,Zaire Franklin,OLB,44,MLB,2,18,Defense,Linebacker,NA,NA,NA,NA,OLB2
2020,IND,Jordan Glasgow,OLB,59,MLB,3,18,Defense,Linebacker,NA,NA,NA,NA,OLB3
2020,IND,Ron'Dell Carter,OLB,44,DE,3,10,Defense,Linebacker,NA,NA,NA,NA,OLB3
2020,IND,Rigoberto Sanchez,P,8,P,1,18,Special Teams,Punter,NA,NA,NA,NA,P
2020,IND,Philip Rivers,QB,17,QB,1,18,Offense,Quarterback,NA,NA,NA,NA,QB
2020,IND,Jacoby Brissett,QB,14,QB,2,18,Offense,Quarterback,NA,NA,NA,NA,QB
2020,IND,Jacob Eason,QB,9,QB,3,18,Offense,Quarterback,NA,NA,NA,NA,QB
2020,IND,Jonathan Taylor,RB,28,RB,1,18,Offense,Running Back,NA,NA,NA,NA,RB
2020,IND,Marlon Mack,RB,37,RB,1,2,Offense,Running Back,NA,NA,NA,NA,RB
2020,IND,Nyheim Hines,RB,22,RB,2,18,Offense,Running Back,NA,NA,NA,NA,RB2
2020,IND,Darius Anderson,RB,30,RB,3,18,Offense,Running Back,NA,NA,NA,NA,RB3
2020,IND,Jordan Wilkins,RB,30,RB,3,17,Offense,Running Back,NA,NA,NA,NA,RB3
2020,IND,Tavon Wilson,SS,32,SS,1,18,Defense,Defensive Back,NA,NA,NA,NA,SS
2020,IND,Khari Willis,SS,37,SS,2,18,Defense,Defensive Back,NA,NA,NA,NA,SS
2020,IND,Anthony Castonzo,T,74,LT,1,16,Offense,Offensive Line,NA,NA,NA,NA,LT
2020,IND,Braden Smith,T,72,RT,1,18,Offense,Offensive Line,NA,NA,NA,NA,LT
2020,IND,Chaz Green,T,74,LT,1,18,Offense,Offensive Line,NA,NA,NA,NA,LT
2020,IND,Le'Raven Clark,T,73,RT,2,14,Offense,Offensive Line,NA,NA,NA,NA,RT
2020,IND,Will Holden,T,62,RT,2,18,Offense,Offensive Line,NA,NA,NA,NA,RT
2020,IND,Jack Doyle,TE,84,TE,1,18,Offense,Tight End,NA,NA,NA,NA,TE
2020,IND,Mo Alie-Cox,TE,81,TE,1,18,Offense,Tight End,NA,NA,NA,NA,TE
2020,IND,Trey Burton,TE,80,TE,2,18,Offense,Tight End,NA,NA,NA,NA,TE2
2020,IND,Noah Togiai,TE,83,TE,3,18,Offense,Tight End,NA,NA,NA,NA,TE3
2020,IND,Marcus Johnson,WR,84,WR,1,16,Offense,Wide Receiver,NA,NA,NA,NA,WR1
2020,IND,Parris Campbell,WR,80,WR,1,3,Offense,Wide Receiver,NA,NA,NA,NA,WR1
2020,IND,T.Y. Hilton,WR,16,WR,1,18,Offense,Wide Receiver,NA,NA,NA,NA,WR1
2020,IND,Zach Pascal,WR,0,WR,1,18,Offense,Wide Receiver,NA,NA,NA,NA,WR1
2020,IND,Ashton Dulin,WR,16,WR,2,18,Offense,Wide Receiver,NA,NA,NA,NA,WR2
2020,IND,Daurice Fountain,WR,12,WR,2,7,Offense,Wide Receiver,NA,NA,NA,NA,WR2
2020,IND,DeMichael Harris,WR,12,WR,2,18,Offense,Wide Receiver,NA,NA,NA,NA,WR2
2020,IND,Michael Pittman,WR,11,WR,2,18,Offense,Wide Receiver,NA,NA,NA,NA,WR2
2020,IND,Dezmon Patmon,WR,19,WR,3,18,Offense,Wide Receiver,NA,NA,NA,NA,WR3
2020,JAX,C.J. Henderson,CB,21,LCB,1,11,Defense,Defensive Back,NA,NA,NA,NA,CB1
2020,JAX,Greg Mabin,CB,29,RCB,1,18,Defense,Defensive Back,NA,NA,NA,NA,CB1
2020,JAX,Sidney Jones,CB,24,RCB,1,15,Defense,Defensive Back,NA,NA,NA,NA,CB1
2020,JAX,Tre Herndon,CB,37,LCB,1,18,Defense,Defensive Back,NA,NA,NA,NA,CB1
2020,JAX,Brandon Rusnak,CB,29,FS,2,18,Defense,Defensive Back,NA,NA,NA,NA,CB2
2020,JAX,Chris Claybrooks,CB,6,LCB,2,18,Defense,Defensive Back,NA,NA,NA,NA,CB2
2020,JAX,D.J. Hayden,CB,34,LCB,2,5,Defense,Defensive Back,NA,NA,NA,NA,CB2
2020,JAX,Quenton Meeks,CB,43,RCB,2,18,Defense,Defensive Back,NA,NA,NA,NA,CB2
2020,JAX,Josiah Scott,CB,42,LCB,3,18,Defense,Defensive Back,NA,NA,NA,NA,CB3
2020,JAX,Luq Barcoo,CB,35,RCB,3,18,Defense,Defensive Back,NA,NA,NA,NA,CB3
2020,JAX,Adam Gotsis,DE,96,DE,1,18,Defense,Defensive Line,NA,NA,NA,NA,DE1
2020,JAX,Dawuane Smoot,DE,94,DE,2,18,Defense,Defensive Line,NA,NA,NA,NA,DE2
2020,JAX,Reggie Gilbert,DE,45,DE,3,15,Defense,Defensive Line,NA,NA,NA,NA,DE3
2020,JAX,Abry Jones,DT,95,NT,1,6,Defense,Defensive Line,NA,NA,NA,NA,DT1
2020,JAX,Daniel Ekuale,DT,95,DT,1,18,Defense,Defensive Line,NA,NA,NA,NA,DT1
2020,JAX,Davon Hamilton,DT,52,NT,1,13,Defense,Defensive Line,NA,NA,NA,NA,DT1
2020,JAX,Doug Costin,DT,60,NT,1,18,Defense,Defensive Line,NA,NA,NA,NA,DT1
2020,JAX,Caraun Reid,DT,97,NT,2,18,Defense,Defensive Line,NA,NA,NA,NA,DT2
2020,JAX,Taven Bryan,DT,96,DT,2,18,Defense,Defensive Line,NA,NA,NA,NA,DT2
2020,JAX,Timmy Jernigan,DT,77,DT,2,4,Defense,Defensive Line,NA,NA,NA,NA,DT2
2020,JAX,Daniel Ross,DT,93,DT,3,18,Defense,Defensive Line,NA,NA,NA,NA,DT3
2020,JAX,Bruce Miller,FB,49,FB,1,8,Offense,Running Back,NA,NA,NA,NA,FB
2020,JAX,Josh Jones,FS,13,SS,1,18,Defense,Defensive Back,NA,NA,NA,NA,FS
2020,JAX,Andrew Wingard,FS,42,SS,2,18,Defense,Defensive Back,NA,NA,NA,NA,FS
2020,JAX,Doug Middleton,FS,37,SS,3,18,Defense,Defensive Back,NA,NA,NA,NA,FS
2020,JAX,A.J. Cann,G,60,RG,1,18,Offense,Offensive Line,NA,NA,NA,NA,LG
2020,JAX,Andrew Norwell,G,68,LG,1,18,Offense,Offensive Line,NA,NA,NA,NA,LG
2020,JAX,Ben Bartch,G,78,LG,1,15,Offense,Offensive Line,NA,NA,NA,NA,LG
2020,JAX,Brandon Linder,G,65,C,1,15,Offense,Offensive Line,NA,NA,NA,NA,LG
2020,JAX,Tyler Shatley,G,69,C,1,18,Offense,Offensive Line,NA,NA,NA,NA,LG
2020,JAX,Joe Schobert,ILB,52,MLB,1,18,Defense,Linebacker,NA,NA,NA,NA,ILB
2020,JAX,Myles Jack,ILB,16,WLB,1,18,Defense,Linebacker,NA,NA,NA,NA,ILB
2020,JAX,Shaquille Quarterman,ILB,50,MLB,2,18,Defense,Linebacker,NA,NA,NA,NA,ILB2
2020,JAX,Quincy Williams,ILB,56,WLB,3,18,Defense,Linebacker,NA,NA,NA,NA,ILB3
2020,JAX,Aldrick Rosas,K,13,K,1,18,Special Teams,Kicker,NA,NA,NA,NA,K
2020,JAX,Chase McLaughlin,K,4,PK,1,12,Special Teams,Kicker,NA,NA,NA,NA,K
2020,JAX,Jon Brown,K,1,PK,1,7,Special Teams,Kicker,NA,NA,NA,NA,K
2020,JAX,Josh Lambo,K,6,K,1,10,Special Teams,Kicker,NA,NA,NA,NA,K
2020,JAX,Stephen Hauschka,K,3,PK,1,6,Special Teams,Kicker,NA,NA,NA,NA,K
2020,JAX,Ross Matiscik,LS,46,LS,1,18,Special Teams,Long Snapper,NA,NA,NA,NA,LS
2020,JAX,Cassius Marsh,OLB,59,SLB,1,6,Defense,Linebacker,NA,NA,NA,NA,OLB1
2020,JAX,Joe Giles-Harris,OLB,44,SLB,1,18,Defense,Linebacker,NA,NA,NA,NA,OLB1
2020,JAX,Josh Hines-Allen,OLB,41,DE,1,12,Defense,Linebacker,NA,NA,NA,NA,OLB1
2020,JAX,K'Lavon Chaisson,OLB,45,DE,1,18,Defense,Linebacker,NA,NA,NA,NA,OLB1
2020,JAX,Kamalei Correa,OLB,55,SLB,1,15,Defense,Linebacker,NA,NA,NA,NA,OLB1
2020,JAX,Leon Jacobs,OLB,48,SLB,1,4,Defense,Linebacker,NA,NA,NA,NA,OLB1
2020,JAX,Aaron Lynch,OLB,59,DE,2,18,Defense,Linebacker,NA,NA,NA,NA,OLB2
2020,JAX,Dakota Allen,OLB,59,WLB,2,18,Defense,Linebacker,NA,NA,NA,NA,OLB2
2020,JAX,Brandon Wright,P,1,K,1,4,Special Teams,Punter,NA,NA,NA,NA,P
2020,JAX,Logan Cooke,P,9,H,1,18,Special Teams,Punter,NA,NA,NA,NA,P
2020,JAX,Dustin Colquitt,P,2,H,2,18,Special Teams,Punter,NA,NA,NA,NA,P
2020,JAX,Mike Glennon,QB,16,QB,1,18,Offense,Quarterback,NA,NA,NA,NA,QB
2020,JAX,Gardner Minshew,QB,15,QB,2,18,Offense,Quarterback,NA,NA,NA,NA,QB
2020,JAX,Jake Luton,QB,16,QB,3,18,Offense,Quarterback,NA,NA,NA,NA,QB
2020,JAX,Dare Ogunbowale,RB,33,RB,1,18,Offense,Running Back,NA,NA,NA,NA,RB
2020,JAX,Chris Thompson,RB,34,RB,2,11,Offense,Running Back,NA,NA,NA,NA,RB2
2020,JAX,Devine Ozigbo,RB,33,RB,2,18,Offense,Running Back,NA,NA,NA,NA,RB2
2020,JAX,James Robinson,RB,26,RB,3,18,Offense,Running Back,NA,NA,NA,NA,RB3
2020,JAX,Nathan Cottrell,RB,31,RB,3,18,Offense,Running Back,NA,NA,NA,NA,RB3
2020,JAX,Daniel Thomas,SS,20,SS,1,12,Defense,Defensive Back,NA,NA,NA,NA,SS
2020,JAX,Jarrod Wilson,SS,35,FS,1,18,Defense,Defensive Back,NA,NA,NA,NA,SS
2020,JAX,Cam Robinson,T,74,LT,1,18,Offense,Offensive Line,NA,NA,NA,NA,LT
2020,JAX,Jawaan Taylor,T,74,RT,1,18,Offense,Offensive Line,NA,NA,NA,NA,LT
2020,JAX,KC McDermott,T,62,C,2,18,Offense,Offensive Line,NA,NA,NA,NA,RT
2020,JAX,Will Richardson,T,76,LT,2,18,Offense,Offensive Line,NA,NA,NA,NA,RT
2020,JAX,James O'Shaughnessy,TE,80,TE,1,18,Offense,Tight End,NA,NA,NA,NA,TE
2020,JAX,Tyler Eifert,TE,88,TE,2,18,Offense,Tight End,NA,NA,NA,NA,TE2
2020,JAX,Ben Ellefson,TE,82,TE,3,13,Offense,Tight End,NA,NA,NA,NA,TE3
2020,JAX,Eric Saubert,TE,82,TE,3,18,Offense,Tight End,NA,NA,NA,NA,TE3
2020,JAX,Tyler Davis,TE,84,"
    ",3,18,Offense,Tight End,NA,NA,NA,NA,TE3
2020,JAX,Keelan Cole,WR,84,PR,1,18,Special Teams,Wide Receiver,NA,NA,NA,NA,WR1
2020,JAX,Laviska Shenault,WR,81,WR,1,18,Offense,Wide Receiver,NA,NA,NA,NA,WR1
2020,JAX,Chris Conley,WR,18,WR,2,18,Offense,Wide Receiver,NA,NA,NA,NA,WR2
2020,JAX,Collin Johnson,WR,80,WR,2,17,Offense,Wide Receiver,NA,NA,NA,NA,WR2
2020,JAX,D.J. Chark,WR,9,WR,2,18,Offense,Wide Receiver,NA,NA,NA,NA,WR2
2020,JAX,Dede Westbrook,WR,80,PR,2,8,Special Teams,Wide Receiver,NA,NA,NA,NA,WR2
2020,JAX,Terry Godwin,WR,80,WR,2,11,Offense,Wide Receiver,NA,NA,NA,NA,WR2
2020,KC,Austin Reiter,C,61,C,1,18,Offense,Offensive Line,NA,NA,NA,NA,C
2020,KC,Daniel Kilgore,C,67,C,2,18,Offense,Offensive Line,NA,NA,NA,NA,C2
2020,KC,Bashaud Breeland,CB,21,RCB,1,18,Defense,Defensive Back,NA,NA,NA,NA,CB1
2020,KC,Charvarius Ward,CB,7,LCB,1,18,Defense,Defensive Back,NA,NA,NA,NA,CB1
2020,KC,Rashad Fenton,CB,24,CB,1,18,Defense,Defensive Back,NA,NA,NA,NA,CB1
2020,KC,Antonio Hamilton,CB,33,CB,2,18,Defense,Defensive Back,NA,NA,NA,NA,CB2
2020,KC,Chris Lammons,CB,35,SS,2,15,Defense,Defensive Back,NA,NA,NA,NA,CB2
2020,KC,L'Jarius Sneed,CB,38,LCB,2,18,Defense,Defensive Back,NA,NA,NA,NA,CB2
2020,KC,Deandre Baker,CB,30,CB,3,18,Defense,Defensive Back,NA,NA,NA,NA,CB3
2020,KC,Thakarius Keyes,CB,30,LCB,3,18,Defense,Defensive Back,NA,NA,NA,NA,CB3
2020,KC,Tanoh Kpassagnon,DE,92,LDE,1,18,Defense,Defensive Line,NA,NA,NA,NA,DE1
2020,KC,Alex Okafor,DE,97,LDE,2,18,Defense,Defensive Line,NA,NA,NA,NA,DE2
2020,KC,Michael Danna,DE,51,RDE,2,18,Defense,Defensive Line,NA,NA,NA,NA,DE2
2020,KC,Taco Charlton,DE,77,RDE,2,10,Defense,Defensive Line,NA,NA,NA,NA,DE2
2020,KC,Demone Harris,DE,91,LDE,3,10,Defense,Defensive Line,NA,NA,NA,NA,DE3
2020,KC,Tim Ward,DE,57,LDE,3,18,Defense,Defensive Line,NA,NA,NA,NA,DE3
2020,KC,Chris Jones,DT,95,LDT,1,18,Defense,Defensive Line,NA,NA,NA,NA,DT1
2020,KC,Derrick Nnadi,DT,91,RDT,1,18,Defense,Defensive Line,NA,NA,NA,NA,DT1
2020,KC,Tershawn Wharton,DT,98,LDT,2,18,Defense,Defensive Line,NA,NA,NA,NA,DT2
2020,KC,Khalen Saunders,DT,50,LDT,3,18,Defense,Defensive Line,NA,NA,NA,NA,DT3
2020,KC,Daniel Sorensen,FS,26,FS,1,18,Defense,Defensive Back,NA,NA,NA,NA,FS
2020,KC,Tyrann Mathieu,FS,32,SS,1,18,Defense,Defensive Back,NA,NA,NA,NA,FS
2020,KC,Juan Thornhill,FS,1,FS,2,18,Defense,Defensive Back,NA,NA,NA,NA,FS
2020,KC,Tedric Thompson,FS,37,SS,2,12,Defense,Defensive Back,NA,NA,NA,NA,FS
2020,KC,Kelechi Osemele,G,70,LG,1,6,Offense,Offensive Line,NA,NA,NA,NA,LG
2020,KC,Nick Allegretti,G,67,LG,1,18,Offense,Offensive Line,NA,NA,NA,NA,LG
2020,KC,Stefen Wisniewski,G,61,LG,2,18,Offense,Offensive Line,NA,NA,NA,NA,RG
2020,KC,Patrick Omameh,G,63,LT,3,18,Offense,Offensive Line,NA,NA,NA,NA,G3
2020,KC,Yasir Durant,G,65,LG,3,18,Offense,Offensive Line,NA,NA,NA,NA,G3
2020,KC,Anthony Hitchens,ILB,53,LB,1,16,Defense,Linebacker,NA,NA,NA,NA,ILB
2020,KC,Ben Niemann,ILB,51,LB,1,18,Defense,Linebacker,NA,NA,NA,NA,ILB
2020,KC,Darius Harris,ILB,59,LB,3,18,Defense,Linebacker,NA,NA,NA,NA,ILB3
2020,KC,Harrison Butker,K,7,K,1,18,Special Teams,Kicker,NA,NA,NA,NA,K
2020,KC,Omari Cobb,LB,48,LB,2,17,Defense,Linebacker,NA,NA,NA,NA,ILB2
2020,KC,James Winchester,LS,41,LS,1,18,Special Teams,Long Snapper,NA,NA,NA,NA,LS
2020,KC,Damien Wilson,MLB,45,LB,1,18,Defense,Linebacker,NA,NA,NA,NA,ILB
2020,KC,Mike Pennel,NT,69,RDT,2,18,Defense,Defensive Line,NA,NA,NA,NA,DT1
2020,KC,Frank Clark,OLB,57,RDE,1,18,Defense,Linebacker,NA,NA,NA,NA,OLB1
2020,KC,Willie Gay,OLB,6,LB,2,18,Defense,Linebacker,NA,NA,NA,NA,OLB2
2020,KC,Dorian O'Daniel,OLB,44,LB,3,13,Defense,Linebacker,NA,NA,NA,NA,OLB3
2020,KC,Tommy Townsend,P,6,P,1,18,Special Teams,Punter,NA,NA,NA,NA,P
2020,KC,Patrick Mahomes,QB,15,QB,1,18,Offense,Quarterback,NA,NA,NA,NA,QB
2020,KC,Chad Henne,QB,4,QB,2,18,Offense,Quarterback,NA,NA,NA,NA,QB
2020,KC,Matt Moore,QB,8,QB,3,18,Offense,Quarterback,NA,NA,NA,NA,QB
2020,KC,Anthony Sherman,RB,42,FB,1,18,Offense,Running Back,NA,NA,NA,NA,RB
2020,KC,Clyde Edwards-Helaire,RB,25,RB,1,18,Offense,Running Back,NA,NA,NA,NA,RB
2020,KC,Le'Veon Bell,RB,6,RB,2,18,Offense,Running Back,NA,NA,NA,NA,RB2
2020,KC,Darrel Williams,RB,34,RB,3,18,Offense,Running Back,NA,NA,NA,NA,RB3
2020,KC,Darwin Thompson,RB,30,"
    ",3,18,Offense,Running Back,NA,NA,NA,NA,RB3
2020,KC,DeAndre Washington,RB,31,"
    ",3,9,Offense,Running Back,NA,NA,NA,NA,RB3
2020,KC,Armani Watts,SS,36,FS,3,18,Defense,Defensive Back,NA,NA,NA,NA,SS
2020,KC,Andrew Wylie,T,71,RG,1,18,Offense,Offensive Line,NA,NA,NA,NA,LT
2020,KC,Eric Fisher,T,79,LT,1,18,Offense,Offensive Line,NA,NA,NA,NA,LT
2020,KC,Mike Remmers,T,68,RT,1,18,Offense,Offensive Line,NA,NA,NA,NA,LT
2020,KC,Mitchell Schwartz,T,71,RT,1,10,Offense,Offensive Line,NA,NA,NA,NA,LT
2020,KC,Martinas Rankin,T,74,LT,2,18,Offense,Offensive Line,NA,NA,NA,NA,RT
2020,KC,Travis Kelce,TE,87,TE,1,18,Offense,Tight End,NA,NA,NA,NA,TE
2020,KC,Nick Keizer,TE,48,TE,2,18,Offense,Tight End,NA,NA,NA,NA,TE2
2020,KC,Deon Yelder,TE,81,TE,3,18,Offense,Tight End,NA,NA,NA,NA,TE3
2020,KC,Ricky Seals-Jones,TE,48,"
    ",3,17,Offense,Tight End,NA,NA,NA,NA,TE3
2020,KC,Sammy Watkins,WR,82,WR,1,18,Offense,Wide Receiver,NA,NA,NA,NA,WR1
2020,KC,Demarcus Robinson,WR,15,WR,2,18,Offense,Wide Receiver,NA,NA,NA,NA,WR2
2020,KC,Mecole Hardman,WR,12,WR,2,18,Offense,Wide Receiver,NA,NA,NA,NA,WR2
2020,KC,Tyreek Hill,WR,10,PR,2,18,Special Teams,Wide Receiver,NA,NA,NA,NA,WR2
2020,KC,Byron Pringle,WR,3,WR,3,18,Offense,Wide Receiver,NA,NA,NA,NA,WR3
2020,KC,Gehrig Dieter,WR,12,WR,3,18,Offense,Wide Receiver,NA,NA,NA,NA,WR3
2020,KC,Marcus Kemp,WR,19,WR,3,15,Offense,Wide Receiver,NA,NA,NA,NA,WR3
2020,LA,Austin Blythe,C,63,C,1,18,Offense,Offensive Line,NA,NA,NA,NA,C
2020,LA,Brian Allen,C,55,C,2,17,Offense,Offensive Line,NA,NA,NA,NA,C2
2020,LA,Coleman Shelton,C,65,RG,2,18,Offense,Offensive Line,NA,NA,NA,NA,C2
2020,LA,Jalen Ramsey,CB,5,RCB,1,18,Defense,Defensive Back,NA,NA,NA,NA,CB1
2020,LA,Troy Hill,CB,13,LCB,1,18,Defense,Defensive Back,NA,NA,NA,NA,CB1
2020,LA,Darious Williams,CB,24,LCB,2,18,Defense,Defensive Back,NA,NA,NA,NA,CB2
2020,LA,David Long,CB,30,RCB,2,18,Defense,Defensive Back,NA,NA,NA,NA,CB2
2020,LA,Leonard Floyd,DE,56,OLB,1,18,Defense,Defensive Line,NA,NA,NA,NA,DE1
2020,LA,Michael Brockers,DE,90,DE,1,17,Defense,Defensive Line,NA,NA,NA,NA,DE1
2020,LA,Samson Ebukam,DE,52,OLB,1,18,Defense,Defensive Line,NA,NA,NA,NA,DE1
2020,LA,Ogbonnia Okoronkwo,DE,54,OLB,2,18,Defense,Defensive Line,NA,NA,NA,NA,DE2
2020,LA,Derek Rivers,DE,95,OLB,3,18,Defense,Defensive Line,NA,NA,NA,NA,DE3
2020,LA,Aaron Donald,DT,99,DT,1,18,Defense,Defensive Line,NA,NA,NA,NA,DT1
2020,LA,Morgan Fox,DT,56,DE,1,18,Defense,Defensive Line,NA,NA,NA,NA,DT1
2020,LA,Sebastian Joseph,DT,69,NT,1,18,Defense,Defensive Line,NA,NA,NA,NA,DT1
2020,LA,A'Shawn Robinson,DT,94,DT,2,18,Defense,Defensive Line,NA,NA,NA,NA,DT2
2020,LA,Eric Banks,DT,93,DT,2,5,Defense,Defensive Line,NA,NA,NA,NA,DT2
2020,LA,Jordan Fuller,FS,20,SS,1,18,Defense,Defensive Back,NA,NA,NA,NA,FS
2020,LA,Juju Hughes,FS,36,SS,2,18,Defense,Defensive Back,NA,NA,NA,NA,FS
2020,LA,Terrell Burgess,FS,35,SS,2,8,Defense,Defensive Back,NA,NA,NA,NA,FS
2020,LA,Austin Corbett,G,63,RG,1,18,Offense,Offensive Line,NA,NA,NA,NA,LG
2020,LA,David Edwards,G,76,LG,1,18,Offense,Offensive Line,NA,NA,NA,NA,LG
2020,LA,Bobby Evans,G,61,RT,2,18,Offense,Offensive Line,NA,NA,NA,NA,RG
2020,LA,Jamil Demby,G,64,LG,2,17,Offense,Offensive Line,NA,NA,NA,NA,RG
2020,LA,Tremayne Anchrum,G,73,LT,2,18,Offense,Offensive Line,NA,NA,NA,NA,RG
2020,LA,Kenny Young,ILB,33,ILB,1,18,Defense,Linebacker,NA,NA,NA,NA,ILB
2020,LA,Micah Kiser,ILB,43,ILB,1,12,Defense,Linebacker,NA,NA,NA,NA,ILB
2020,LA,Troy Reeder,ILB,59,ILB,1,18,Defense,Linebacker,NA,NA,NA,NA,ILB
2020,LA,Kai Forbath,K,2,K,1,11,Special Teams,Kicker,NA,NA,NA,NA,K
2020,LA,Matt Gay,K,7,K,1,18,Special Teams,Kicker,NA,NA,NA,NA,K
2020,LA,Sam Sloman,K,16,K,1,8,Special Teams,Kicker,NA,NA,NA,NA,K
2020,LA,Jake McQuaide,LS,43,LS,1,18,Special Teams,Long Snapper,NA,NA,NA,NA,LS
2020,LA,Greg Gaines,NT,96,NT,2,18,Defense,Defensive Line,NA,NA,NA,NA,DT1
2020,LA,Jachai Polite,OLB,95,OLB,2,13,Defense,Linebacker,NA,NA,NA,NA,OLB2
2020,LA,Justin Hollins,OLB,58,ILB,2,18,Defense,Linebacker,NA,NA,NA,NA,OLB2
2020,LA,Terrell Lewis,OLB,47,OLB,2,18,Defense,Linebacker,NA,NA,NA,NA,OLB2
2020,LA,Natrez Patrick,OLB,57,OLB,3,18,Defense,Linebacker,NA,NA,NA,NA,OLB3
2020,LA,Johnny Hekker,P,10,P,1,18,Special Teams,Punter,NA,NA,NA,NA,P
2020,LA,Jared Goff,QB,16,QB,1,17,Offense,Quarterback,NA,NA,NA,NA,QB
2020,LA,John Wolford,QB,11,QB,1,18,Offense,Quarterback,NA,NA,NA,NA,QB
2020,LA,Blake Bortles,QB,6,QB,2,18,Offense,Quarterback,NA,NA,NA,NA,QB
2020,LA,Malcolm Brown,RB,41,RB,1,18,Offense,Running Back,NA,NA,NA,NA,RB
2020,LA,Cam Akers,RB,22,RB,2,18,Offense,Running Back,NA,NA,NA,NA,RB2
2020,LA,Raymond Calais,RB,30,KR,2,18,Special Teams,Running Back,NA,NA,NA,NA,RB2
2020,LA,Darrell Henderson,RB,27,RB,3,17,Offense,Running Back,NA,NA,NA,NA,RB3
