name,season,team,position,sacks,qb_hits,tfls,forced_fumbles,third_down_pressures,def_snaps,games_played,snap_pct,sacks_per_game,qb_hits_per_game,pressure_rate,tfls_per_game,composite_rank,ranking,tier
F.Zombo,2017,KC,OLB,1.5,5,4,0,3,640,17,0.558235294117647,0.0882352941176471,0.294117647058824,1.015625,0.235294117647059,0,157,7
J.Brown,2017,LAC,OLB,1.5,7,3,0,4,1033,77,0.197792207792208,0.0194805194805195,0.0909090909090909,0.822846079380445,0.038961038961039,0,158,7
J.Martin,2017,NYJ,OLB,1.5,8,10,0,2,489,14,0.501428571428571,0.107142857142857,0.571428571428571,1.94274028629857,0.714285714285714,0,159,7
K.Emanuel,2017,LAC,OLB,1.5,2,1,0,0,302,16,0.284375,0.09375,0.125,1.15894039735099,0.0625,0,160,7
T.Carradine,2017,SF,DE,1.5,4,1,0,0,214,8,0.38625,0.1875,0.5,2.57009345794392,0.125,0,161,7
A.Barr,2017,MIN,OLB,1,5,9,0,3,1049,18,0.927222222222222,0.0555555555555556,0.277777777777778,0.571973307912297,0.5,0,162,7
A.Johnson,2017,IND,DE,1,1,1,0,0,396,22,0.263181818181818,0.0454545454545455,0.0454545454545455,0.505050505050505,0.0454545454545455,0,163,7
B.Mayowa,2017,DAL,DE,1,5,3,0,3,381,14,0.411428571428571,0.0714285714285714,0.357142857142857,1.5748031496063,0.214285714285714,0,164,7
C.Upshaw,2017,ATL,DE,1,3,2,1,0,227,15,0.228666666666667,0.0666666666666667,0.2,1.76211453744493,0.133333333333333,0,165,7
D.Shelby,2017,ATL,DE,1,1,3,0,0,434,18,0.368333333333333,0.0555555555555556,0.0555555555555556,0.460829493087558,0.166666666666667,0,166,7
D.Wilson,2017,DAL,OLB,1,4,1,0,1,321,16,0.3075,0.0625,0.25,1.55763239875389,0.0625,0,167,7
E.Yarbrough,2017,BUF,DE,1,7,4,0,5,495,17,0.417058823529412,0.0588235294117647,0.411764705882353,1.61616161616162,0.235294117647059,0,168,7
J.Heath,2017,HOU,DE,1,1,3,2,0,1203,28,0.660714285714286,0.0357142857142857,0.0357142857142857,0.166251039068994,0.107142857142857,0,169,7
J.Ward,2017,OAK,DE,1,1,2,0,0,554,12,0.634166666666667,0.0833333333333333,0.0833333333333333,0.36101083032491,0.166666666666667,0,170,7
J.Willis,2017,CIN,DE,1,2,4,0,0,360,16,0.31625,0.0625,0.125,0.833333333333333,0.25,0,171,7
K.Alonso,2017,MIA,OLB,1,5,6,2,0,1008,16,0.965625,0.0625,0.3125,0.595238095238095,0.375,0,172,7
K.Ealy,2017,NYJ,DE,1,3,2,0,0,452,15,0.445333333333333,0.0666666666666667,0.2,0.884955752212389,0.133333333333333,0,173,7
K.Wynn,2017,NYG,DE,1,0,1,0,0,252,15,0.231333333333333,0.0666666666666667,0,0,0.0666666666666667,0,174,7
L.Guy,2017,NE,DE,1,4,6,0,0,720,19,0.559473684210526,0.0526315789473684,0.210526315789474,0.694444444444444,0.31578947368421,0,175,7
M.Hunt,2017,IND,DE,1,7,6,0,3,576,16,0.538125,0.0625,0.4375,1.38888888888889,0.375,0,176,7
N.Vigil,2017,CIN,OLB,1,2,4,0,0,759,11,0.943636363636364,0.0909090909090909,0.181818181818182,0.395256916996047,0.363636363636364,0,177,7
R.Armstrong,2017,NYG,OLB,1,1,2,2,0,480,15,0.438666666666667,0.0666666666666667,0.0666666666666667,0.416666666666667,0.133333333333333,0,178,7
S.Ray,2017,DEN,OLB,1,4,3,0,2,354,8,0.72,0.125,0.5,1.41242937853107,0.375,0,179,7
