"","player_name","week","season","team","opponent_team","attempts","completions","passing_yards","passing_tds","interceptions","completion_pct","yards_per_attempt","passing_epa","pass_epa_per_att","dakota","cpoe_ngs","td_pct","int_pct","sacks","sack_yards","sack_rate","time_to_throw","aggressiveness","air_distance","intended_air_yards","carries","rushing_yards","rushing_tds","rushing_epa","rush_epa_per_att","yards_per_carry","fantasy_points","fantasy_points_ppr"
"1","T.Brady",1,2022,"TB","DAL",27,18,212,1,1,66.6666666666667,7.85185185185185,1.05085355477425,0.038920502028676,0.0756322575381053,2.44411351504148,3.7037037037037,3.7037037037037,2,17,6.89655172413793,2.49674074074074,18.5185185185185,6.81222222222222,10.7107407407407,2,-1,0,-1.43716751458123,-0.718583757290617,-0.5,10.38,10.38
"2","T.Brady",2,2022,"TB","NO",34,18,190,1,0,52.9411764705882,5.58823529411765,2.42870697546058,0.0714325581017819,-0.0220874521364173,-12.0752982576104,2.94117647058824,0,1,2,2.85714285714286,2.54029411764706,17.6470588235294,5.84111111111111,8.80939393939394,3,-2,0,-7.11540677567245,-2.37180225855748,-0.666666666666667,9.4,9.4
"3","T.Brady",3,2022,"TB","GB",42,31,271,1,0,73.8095238095238,6.45238095238095,1.07674930043365,0.025636888105563,0.0859627433357744,3.16776242994126,2.38095238095238,0,3,20,6.66666666666667,2.22271428571429,11.9047619047619,4.6658064516129,5.81525,1,-1,0,0,0,-1,14.74,14.74
"4","T.Brady",4,2022,"TB","KC",52,39,385,3,0,75,7.40384615384615,9.51133412883449,0.182910271708356,0.153674487611538,3.83426094284425,5.76923076923077,0,1,12,1.88679245283019,2.37165384615385,13.4615384615385,4.47384615384616,6.68346153846154,0,0,0,NA,NA,NA,25.4,25.4
"5","T.Brady",5,2022,"TB","ATL",52,35,351,1,0,67.3076923076923,6.75,12.9895898019221,0.249799803883117,0.156921590436891,-3.52476749999019,1.92307692307692,0,0,0,0,2.41188461538462,9.61538461538462,4.47228571428571,6.533,3,-3,0,-3.33603642415255,-1.11201214138418,-1,19.74,19.74
"6","T.Brady",6,2022,"TB","PIT",40,25,243,1,0,62.5,6.075,8.71979103205027,0.217994775801257,0.117122652170341,0.13804835267365,2.5,0,2,14,4.76190476190476,2.54876923076923,17.5,5.6064,7.70459459459459,1,0,0,-1.1183694647043,-1.1183694647043,0,13.72,13.72
"7","T.Brady",7,2022,"TB","CAR",49,32,290,0,0,65.3061224489796,5.91836734693878,-2.37553232737824,-0.0484802515791477,0.0171669614923224,-4.17768742356981,0,0,1,14,2,2.48975510204082,10.2040816326531,4.7446875,7.45541666666667,1,1,0,-0.569582178955898,-0.569582178955898,1,11.7,11.7
"8","T.Brady",8,2022,"TB","BAL",44,26,325,1,0,59.0909090909091,7.38636363636364,4.88281207040607,0.110973001600138,0.0762621410717683,-8.03630998866124,2.27272727272727,0,3,20,6.38297872340426,2.37397674418605,18.1818181818182,5.025,7.63833333333333,1,1,0,-1.01517670265241,-1.01517670265241,1,17.1,17.1
"9","T.Brady",9,2022,"TB","LA",58,36,280,1,0,62.0689655172414,4.82758620689655,-4.88304228540223,-0.0841903842310729,0.000939015836744099,-6.62476729986996,1.72413793103448,0,1,8,1.69491525423729,2.25773684210526,13.7931034482759,3.93916666666667,5.35254545454545,0,0,0,NA,NA,NA,15.2,15.2
"10","T.Brady",10,2022,"TB","SEA",29,22,258,2,1,75.8620689655172,8.89655172413793,15.3084523226176,0.527877666297158,0.282559200374451,8.93008143737399,6.89655172413793,3.44827586206897,0,0,0,2.77706896551724,17.2413793103448,7.06227272727273,8.59892857142857,6,-3,0,-2.94423849217128,-0.49070641536188,-0.5,16.02,16.02
"11","T.Brady",12,2022,"TB","CLE",43,29,246,2,0,67.4418604651163,5.72093023255814,-1.70760845429577,-0.0397118245185063,0.0541723282815928,0.131948725428686,4.65116279069767,0,3,17,6.52173913043478,2.44827906976744,20.9302325581395,3.02551724137931,8.61906976744186,1,2,0,1.53526952583343,1.53526952583343,2,18.04,18.04
"12","T.Brady",13,2022,"TB","NO",54,36,281,2,1,66.6666666666667,5.2037037037037,0.434906853867137,0.00805383062716921,0.0577221020945159,-2.42926649473333,3.7037037037037,1.85185185185185,1,7,1.81818181818182,2.54198148148148,16.6666666666667,3.215,5.73188679245283,1,-1,0,0,0,-1,17.14,17.14
"13","T.Brady",14,2022,"TB","SF",55,34,253,1,2,61.8181818181818,4.6,-9.46674129713582,-0.172122569038833,0.0180478502604689,-5.46008998697455,1.81818181818182,3.63636363636364,0,0,0,2.72370909090909,9.09090909090909,3.97470588235294,6.59529411764706,2,0,0,-1.85083113028668,-0.925415565143339,0,10.12,10.12
"14","T.Brady",15,2022,"TB","CIN",44,30,312,3,2,68.1818181818182,7.09090909090909,5.46805775330464,0.124274039847833,0.0766102938425202,8.5571294481104,6.81818181818182,4.54545454545455,1,8,2.22222222222222,2.66488636363636,29.5454545454545,5.857,7.48,2,1,0,-7.36188647503917,-3.68094323751958,0.5,16.58,16.58
"15","T.Brady",16,2022,"TB","ARI",48,32,281,1,2,66.6666666666667,5.85416666666667,-1.85597578163181,-0.0386661621173293,0.01691073786919,-10.01546146969,2.08333333333333,4.16666666666667,0,0,0,2.1595,6.25,1.435625,4.79145833333333,2,1,0,1.49323345941957,0.746616729709785,0.5,11.34,11.34
