"","player_name","season","team","games","total_targets","total_receptions","total_receiving_yards","total_receiving_tds","catch_rate","receiving_yards_per_game","targets_per_game","total_receiving_epa","rec_epa_per_target","yards_per_target","yards_per_reception","total_air_yards","total_yac","avg_separation","avg_racr","avg_wopr","total_explosive_catches","explosive_rate","total_fantasy_points","fantasy_points_per_game"
"1","A.Barner",2024,"SEA",14,38,30,245,4,78.9473684210526,17.5,2.71428571428571,11.0866415139171,0.291753724050451,6.44736842105263,8.16666666666667,136,164,4.09842238430921,2.40282895767002,0.165533495545863,4,13.3333333333333,78.5,5.60714285714286
"2","A.Firkser",2022,"ATL",8,13,9,100,0,69.2307692307692,12.5,1.625,2.51375165889613,0.193365512222779,7.69230769230769,11.1111111111111,108,20,NA,0.984058156755525,0.130654445972921,2,22.2222222222222,19,2.375
"3","A.Firkser",2023,"DET",1,1,1,8,0,100,8,1,1.17163440826698,1.17163440826698,8,8,4,4,NA,2,0.0450471698113208,0,0,1.8,1.8
"4","A.Hooper",2022,"TEN",17,60,41,444,2,68.3333333333333,26.1176470588235,3.52941176470588,26.1507010481437,0.435845017469061,7.4,10.8292682926829,480,130,2.34917590768976,1.26043146738451,0.315163285846469,10,24.390243902439,97.4,5.72941176470588
"5","A.Hooper",2023,"LV",16,31,25,234,0,80.6451612903226,14.625,1.9375,11.3596193930716,0.366439335260375,7.54838709677419,9.36,130,142,3.89500255517779,2.34096308479532,0.128730438622313,4,16,48.4,3.025
"6","A.Hooper",2024,"NE",17,59,45,476,3,76.271186440678,28,3.47058823529412,12.7047326869698,0.215334452321522,8.06779661016949,10.5777777777778,386,225,3.18440700483721,1.58908280892626,0.258360986591954,9,20,108.6,6.38823529411765
"7","A.Ogletree",2023,"IND",10,21,9,147,2,42.8571428571429,14.7,2.1,9.11115194103331,0.433864378144443,7,16.3333333333333,209,30,NA,0.608842838842839,0.162244390440438,3,33.3333333333333,35.7,3.57
"8","A.Ogletree",2024,"IND",11,14,9,109,1,64.2857142857143,9.90909090909091,1.27272727272727,1.29176330126938,0.0922688072335274,7.78571428571429,12.1111111111111,150,50,NA,0.86509324009324,0.110480782675117,3,33.3333333333333,25.9,2.35454545454545
"9","A.Okwuegbunam",2022,"DEN",6,18,10,95,1,55.5555555555556,15.8333333333333,3,-2.28685099752309,-0.127047277640172,5.27777777777778,9.5,99,59,3.15775009971809,1.19528875379939,0.185802842457748,2,20,25.5,4.25
"10","A.Okwuegbunam",2023,"PHI",1,1,0,0,0,0,0,1,-0.425066940486431,-0.425066940486431,0,NA,10,0,NA,0,0.0591256569517439,0,NA,0,0
