"","player_name","week","season","team","opponent_team","targets","receptions","receiving_yards","receiving_tds","catch_rate","target_share","receiving_air_yards","receiving_yards_after_catch","air_yards_share","racr","wopr","receiving_epa","rec_epa_per_target","yards_per_target","yards_per_reception","air_yards_per_target","yac_per_reception","avg_separation","avg_cushion","yac_above_expected","explosive_catches","fantasy_points","fantasy_points_ppr"
"1","D.Jackson",9,2022,"BAL","NO",2,1,16,0,50,0.0909090909090909,62,0,0.279279279279279,0.258064516129032,0.331859131859132,-0.391064250608906,-0.195532125304453,8,16,31,0,NA,NA,NA,0,1.6,2.6
"2","D.Jackson",12,2022,"BAL","JAX",3,2,74,0,66.6666666666667,0.1,79,7,0.222535211267606,0.936708860759494,0.305774647887324,5.83507717377506,1.94502572459169,24.6666666666667,37,26.3333333333333,3.5,NA,NA,NA,1,7.4,9.4
"3","D.Jackson",13,2022,"BAL","DEN",3,2,10,0,66.6666666666667,0.0833333333333333,39,6,0.168831168831169,0.256410256410256,0.243181818181818,-0.235204646422062,-0.078401548807354,3.33333333333333,5,13,3,NA,NA,NA,0,1,3
"4","D.Jackson",14,2022,"BAL","PIT",2,2,34,0,100,0.117647058823529,29,5,0.216417910447761,1.17241379310345,0.327963125548727,3.26498064864427,1.63249032432213,17,17,14.5,2.5,NA,NA,NA,1,3.4,5.4
"5","D.Jackson",15,2022,"BAL","CLE",3,0,0,0,0,0.107142857142857,34,0,0.189944134078212,0,0.293675179569034,-6.45449109748006,-2.15149703249335,0,NA,11.3333333333333,NA,NA,NA,NA,0,0,0
"6","D.Jackson",16,2022,"BAL","ATL",2,1,10,0,50,0.125,43,0,0.219387755102041,0.232558139534884,0.341071428571429,0.486754365032539,0.243377182516269,5,10,21.5,0,NA,NA,NA,0,1,2
"7","D.Jackson",17,2022,"BAL","PIT",2,1,9,0,50,0.1,16,5,0.103225806451613,0.5625,0.222258064516129,-0.872225415014291,-0.436112707507145,4.5,9,8,5,NA,NA,NA,0,0.9,1.9
"8","A.Green",1,2022,"ARI","KC",4,2,13,0,50,0.111111111111111,42,0,0.157894736842105,0.30952380952381,0.27719298245614,-2.83125655120239,-0.707814137800597,3.25,6.5,10.5,0,NA,NA,NA,0,1.3,3.3
"9","A.Green",2,2022,"ARI","LV",7,3,16,0,42.8571428571429,0.148936170212766,49,9,0.205020920502092,0.326530612244898,0.366918899670613,-3.42340631378465,-0.489058044826379,2.28571428571429,5.33333333333333,7,3,2.91858188150313,5.20857142857143,0.455966739395928,0,3.6,6.6
"10","A.Green",3,2022,"ARI","LA",2,0,0,0,0,0.0363636363636364,24,0,0.072289156626506,0,0.105147864184009,-2.04648148291744,-1.02324074145872,0,NA,12,NA,NA,NA,NA,0,0,0
"11","A.Green",5,2022,"ARI","PHI",5,3,20,0,60,0.131578947368421,79,3,0.26962457337884,0.253164556962025,0.386105622417819,1.56889618956484,0.313779237912968,4,6.66666666666667,15.8,1,1.32987736182634,4.07,0.318009859235779,1,2,5
"12","A.Green",6,2022,"ARI","SEA",4,2,7,0,50,0.111111111111111,36,0,0.105882352941176,0.194444444444444,0.24078431372549,-6.07401264940572,-1.51850316235143,1.75,3.5,9,0,NA,NA,NA,0,0.7,2.7
"13","A.Green",8,2022,"ARI","MIN",1,0,0,0,0,0.0232558139534884,26,0,0.0902777777777778,0,0.098078165374677,-1.09242036774895,-1.09242036774895,0,NA,26,NA,NA,NA,NA,0,0,0
"14","A.Green",10,2022,"ARI","LA",2,2,10,1,100,0.0571428571428571,10,0,0.0448430493273543,1,0.117104420243434,4.89406356227119,2.44703178113559,5,5,5,0,NA,NA,NA,0,7,9
"15","A.Green",11,2022,"ARI","SF",9,5,50,0,55.5555555555556,0.214285714285714,92,0,0.369477911646586,0.543478260869565,0.580063109581182,-3.99881283694413,-0.444312537438236,5.55555555555556,10,10.2222222222222,0,2.8329510982562,7.67222222222222,-0.520823990547183,1,5,10
"16","A.Green",12,2022,"ARI","LAC",2,1,5,0,50,0.0740740740740741,31,1,0.111510791366906,0.161290322580645,0.189168665067946,-0.155678994604386,-0.0778394973021932,2.5,5,15.5,1,NA,NA,NA,0,0.5,1.5
"17","A.Green",14,2022,"ARI","NE",2,1,7,0,50,0.048780487804878,17,1,0.0561056105610561,0.411764705882353,0.112444659100056,-1.23085852502845,-0.615429262514226,3.5,7,8.5,1,NA,NA,NA,0,0.7,1.7
"18","A.Green",15,2022,"ARI","DEN",2,0,0,0,0,0.0571428571428571,12,0,0.0491803278688525,0,0.120140515222482,-6.45284250203986,-3.22642125101993,0,NA,6,NA,NA,NA,NA,0,0,0
"19","A.Green",17,2022,"ARI","ATL",2,2,17,0,100,0.0526315789473684,15,2,0.0405405405405405,1.13333333333333,0.107325746799431,1.19152300717542,0.59576150358771,8.5,8.5,7.5,1,NA,NA,NA,0,1.7,3.7
"20","A.Green",18,2022,"ARI","SF",5,3,91,1,60,0.185185185185185,82,40,0.455555555555556,1.10975609756098,0.596666666666667,1.57836495159427,0.315672990318853,18.2,30.3333333333333,16.4,13.3333333333333,2.53192673198379,5.064,10.8365790420435,1,15.1,18.1
"21","J.Jones",1,2022,"TB","DAL",5,3,69,0,60,0.185185185185185,110,15,0.360655737704918,0.627272727272727,0.53023679417122,2.73006536544036,0.546013073088071,13.8,23,22,5,2.46083695588375,6.31,1.34070381881852,1,8.6,11.6
"22","J.Jones",4,2022,"TB","KC",2,1,7,0,50,0.0384615384615385,51,4,0.156441717791411,0.137254901960784,0.167201510146295,0.217820725636557,0.108910362818278,3.5,7,25.5,4,NA,NA,NA,0,0.7,1.7
