"","player_name","season","team","games","total_targets","total_receptions","total_receiving_yards","total_receiving_tds","catch_rate","receiving_yards_per_game","targets_per_game","total_receiving_epa","rec_epa_per_target","yards_per_target","yards_per_reception","total_air_yards","total_yac","avg_separation","avg_racr","avg_wopr","total_explosive_catches","explosive_rate","total_fantasy_points","fantasy_points_per_game"
"1","A.Baccellia",2022,"ARI",5,10,7,45,0,70,9,2,1.42709800039593,0.142709800039593,4.5,6.42857142857143,91,11,NA,0.93302380952381,0.113581329174524,0,0,11.5,2.3
"2","A.Bachman",2024,"LV",1,3,3,31,0,100,31,3,1.0225745011121,0.340858167037368,10.3333333333333,10.3333333333333,21,10,NA,1.47619047619048,0.201949490474081,1,33.3333333333333,6.1,6.1
"3","A.Brown",2022,"PHI",20,167,101,1642,12,60.4790419161677,82.1,8.35,61.068683743522,0.365680740979173,9.83233532934132,16.2574257425743,2040,603,2.7390751222248,0.850700986058879,0.712540155915052,19,18.8118811881188,333.2,16.66
"4","A.Brown",2023,"PHI",17,158,106,1456,7,67.0886075949367,85.6470588235294,9.29411764705882,65.8728374935166,0.416916692996941,9.21518987341772,13.7358490566038,1853,473,2.52493172791481,0.793407313807622,0.747900175347546,15,14.1509433962264,289.6,17.0352941176471
"5","A.Brown",2024,"PHI",17,120,79,1242,9,65.8333333333333,73.0588235294118,7.05882352941176,74.4025781013886,0.620021484178238,10.35,15.7215189873418,1483,401,2.12497989424082,0.856395346626776,0.844063063587657,15,18.9873417721519,257.2,15.1294117647059
"6","A.Cooper",2022,"CLE",17,132,78,1160,9,59.0909090909091,68.2352941176471,7.76470588235294,53.4649870408271,0.405037780612327,8.78787878787879,14.8717948717949,1642,299,2.47423023719569,0.773133849272253,0.697012383766708,15,19.2307692307692,246,14.4705882352941
"7","A.Cooper",2023,"CLE",16,133,76,1309,5,57.1428571428571,81.8125,8.3125,49.8897131997183,0.375110625561792,9.8421052631579,17.2236842105263,1900,278,2.22807532647011,0.691112855900516,0.623334914036404,14,18.4210526315789,236.9,14.80625
"8","A.Cooper",2024,"BUF",10,40,26,338,2,65,33.8,4,12.0146112977274,0.300365282443185,8.45,13,497,77,2.36389698829486,0.886012073417457,0.309473461567081,5,19.2307692307692,71.8,7.18
"9","A.Cooper",2024,"CLE",6,53,24,250,2,45.2830188679245,41.6666666666667,8.83333333333333,-5.32559710077486,-0.100482964165563,4.71698113207547,10.4166666666667,697,57,2.80691888451303,0.425171068229945,0.757542797533401,4,16.6666666666667,61,10.1666666666667
"10","A.Dulin",2022,"IND",7,22,15,207,1,68.1818181818182,29.5714285714286,3.14285714285714,8.30038729403168,0.377290331546895,9.40909090909091,13.8,252,35,2.23143018254873,1.1226183845858,0.228625989859418,3,20,42.5,6.07142857142857
"11","A.Dulin",2024,"IND",9,8,2,67,1,25,7.44444444444444,0.888888888888889,-6.19015198707348,-0.773768998384185,8.375,33.5,154,43,NA,0.563961988304093,0.138661114519993,1,50,19.2,2.13333333333333
"12","A.Erickson",2023,"LAC",8,29,16,232,1,55.1724137931034,29,3.625,5.39480069826823,0.186027610285111,8,14.5,295,58,2.5492136637833,0.873139381002318,0.240484453584677,4,25,45.2,5.65
"13","A.Gould",2024,"IND",1,1,1,23,0,100,23,1,1.88861330680083,1.88861330680083,23,23,18,5,NA,1.27777777777778,0.0816666666666667,1,100,3.3,3.3
"14","A.Green",2022,"ARI",13,47,24,236,2,51.063829787234,18.1538461538462,3.61538461538462,-18.0729225130703,-0.384530266235538,5.02127659574468,9.83333333333333,515,56,2.40333426839236,0.418714318723235,0.253626279269996,3,12.5,61.6,4.73846153846154
"15","A.Green",2023,"DET",2,2,1,2,0,50,1,1,-3.53832730645081,-1.7691636532254,1,2,11,1,NA,1,0.0483553843513343,0,0,1.2,0.6
"16","A.Iosivas",2023,"CIN",9,25,15,116,4,60,12.8888888888889,2.77777777777778,5.36112963134656,0.214445185253862,4.64,7.73333333333333,215,35,2.80575973405665,1.15996598954594,0.213426110525576,2,13.3333333333333,50.6,5.62222222222222
"17","A.Iosivas",2024,"CIN",17,61,36,479,6,59.016393442623,28.1764705882353,3.58823529411765,23.9635120646837,0.392844460076783,7.85245901639344,13.3055555555556,692,67,3.06443515107753,0.686209137061182,0.265889638604806,11,30.5555555555556,119.9,7.05294117647059
