"","player_name","week","season","team","opponent_team","carries","rushing_yards","rushing_tds","yards_per_carry","rushing_epa","rush_epa_per_att","rushing_fumbles","rushing_fumbles_lost","rush_efficiency","ryoe_per_att","yards_before_contact","percent_attempts_gte_eight_defenders","targets","receptions","receiving_yards","receiving_tds","catch_rate","target_share","air_yards_share","receiving_air_yards","receiving_yards_after_catch","rec_epa_per_target","yards_per_target","yards_per_reception","avg_separation","yac_above_expected","total_touches","total_yards","total_tds","fantasy_points","fantasy_points_ppr"
"20","R.Burkhead",2,2022,"HOU","DEN",0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,3,2,9,0,66.6666666666667,0.0810810810810811,0.0823170731707317,27,0,-0.501002640411166,3,4.5,NA,NA,2,9,0,0.9,2.9
"21","R.Burkhead",3,2022,"HOU","CHI",3,9,0,3,-0.371633002185263,-0.123877667395088,0,0,NA,NA,NA,NA,5,4,21,0,80,0.161290322580645,0.00444444444444444,1,24,-1.04126466297312,4.2,5.25,NA,NA,7,30,0,3,7
"22","R.Burkhead",4,2022,"HOU","LAC",0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,5,5,39,1,100,0.142857142857143,-0.01171875,-3,42,0.709686496977333,7.8,7.8,NA,NA,5,39,1,9.9,14.9
"23","R.Burkhead",5,2022,"HOU","JAX",3,15,0,5,1.17279644473456,0.390932148244853,0,0,NA,NA,NA,NA,3,2,13,0,66.6666666666667,0.125,-0.0378787878787879,-5,21,-0.764824201566322,4.33333333333333,6.5,NA,NA,5,28,0,2.8,4.8
"24","R.Burkhead",7,2022,"HOU","LV",2,8,0,4,0.694997171347495,0.347498585673748,0,0,NA,NA,NA,NA,6,5,11,0,83.3333333333333,0.15,0.00442477876106195,1,17,-0.549338372123505,1.83333333333333,2.2,NA,NA,7,19,0,1.9,6.9
"25","R.Burkhead",8,2022,"HOU","TEN",0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,2,0,100,0.0333333333333333,0,0,2,-0.775873230071738,2,2,NA,NA,1,2,0,0.2,1.2
"26","R.Burkhead",9,2022,"HOU","PHI",1,9,0,9,0.329061963828281,0.329061963828281,0,0,NA,NA,NA,NA,2,1,6,0,50,0.0952380952380952,0.0828025477707006,13,5,0.140166005297766,3,6,NA,NA,2,15,0,1.5,2.5
"27","R.Burkhead",10,2022,"HOU","NYG",1,2,0,2,-1.13128781761043,-1.13128781761043,0,0,NA,NA,NA,NA,2,2,28,0,100,0.0540540540540541,0,0,28,0.647207709698705,14,14,NA,NA,3,30,0,3,5
"28","R.Burkhead",12,2022,"HOU","MIA",0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,2,1,5,0,50,0.0526315789473684,0.0209424083769634,4,3,-0.252730268577579,2.5,5,NA,NA,1,5,0,0.5,1.5
"29","R.Burkhead",14,2022,"HOU","DAL",2,-3,0,-1.5,-3.40432863897877,-1.70216431948938,0,0,NA,NA,NA,NA,1,1,5,0,100,0.0416666666666667,0.02,3,2,-0.0393023553770036,5,5,NA,NA,3,2,0,0.2,1.2
"30","R.Burkhead",15,2022,"HOU","KC",0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,4,2,17,0,50,0.148148148148148,0.0756302521008403,18,17,-0.371726105162723,4.25,8.5,NA,NA,2,17,0,1.7,3.7
"31","R.Burkhead",16,2022,"HOU","TEN",0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,2,2,7,0,100,0.0689655172413793,-0.00347222222222222,-1,8,-0.858585191674081,3.5,3.5,NA,NA,2,7,0,0.7,2.7
"32","R.Burkhead",17,2022,"HOU","JAX",0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,5,3,10,0,60,0.119047619047619,0.0196078431372549,6,15,-1.59750097696669,2,3.33333333333333,NA,NA,3,10,0,1,4
"33","R.Burkhead",18,2022,"HOU","IND",0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,2,1,1,0,50,0.0526315789473684,0.0249221183800623,8,0,-1.32865690329345,0.5,1,NA,NA,1,1,0,0.1,1.1
"34","G.Bernard",15,2022,"TB","CIN",1,0,0,0,-4.23544292151928,-4.23544292151928,1,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1,0,0,0,0
"35","G.Bernard",18,2022,"TB","ATL",7,28,0,4,-1.76615284890794,-0.252307549843992,0,0,NA,NA,NA,NA,2,2,-1,0,100,0.0606060606060606,-0.0427807486631016,-8,7,-1.06864092720207,-0.5,-0.5,NA,NA,9,27,0,2.7,4.7
"36","L.Murray",4,2022,"NO","MIN",11,57,1,5.18181818181818,2.87068020517472,0.260970927743156,0,0,3.21526315789474,0.152858171879493,53.6371202186511,9.09090909090909,1,1,8,0,100,0.0357142857142857,-0.00643086816720257,-2,10,0.532987258397043,8,8,NA,NA,12,65,1,12.5,13.5
"37","L.Murray",6,2022,"DEN","LAC",15,66,0,4.4,-1.19386421027593,-0.0795909473517289,0,0,3.06924242424242,-0.636614954259365,85.098448627781,6.66666666666667,1,1,-2,0,100,0.04,-0.0266666666666667,-6,4,-1.25762435747311,-2,-2,NA,NA,16,64,0,6.4,7.4
"38","L.Murray",7,2022,"DEN","NYJ",8,24,1,3,-0.677849731873721,-0.0847312164842151,0,0,NA,NA,NA,NA,3,2,-1,0,66.6666666666667,0.0666666666666667,-0.0148305084745763,-7,2,-0.827459413872101,-0.333333333333333,-0.5,NA,NA,10,23,1,8.3,10.3
"39","L.Murray",8,2022,"DEN","JAX",14,46,1,3.28571428571429,-3.82184509263607,-0.272988935188291,0,0,3.96108695652174,-0.405175162736221,54.5345542311418,42.8571428571429,2,1,13,0,50,0.0769230769230769,0.0103448275862069,3,12,-0.132115562679246,6.5,13,NA,NA,15,59,1,11.9,12.9
"40","L.Murray",10,2022,"DEN","TEN",9,24,0,2.66666666666667,-0.31468219566159,-0.0349646884068433,0,0,NA,NA,NA,NA,3,3,23,0,100,0.0769230769230769,-0.0151515151515152,-6,29,0.169281942537054,7.66666666666667,7.66666666666667,NA,NA,12,47,0,4.7,7.7
"41","L.Murray",11,2022,"DEN","LV",17,49,1,2.88235294117647,-1.74587877557497,-0.10269875150441,0,0,4.42326530612245,-1.49467874812784,99.8190774363466,47.0588235294118,4,4,23,0,100,0.142857142857143,-0.0635838150289017,-11,34,0.130486999871209,5.75,5.75,NA,NA,21,72,1,13.2,17.2
"42","L.Murray",12,2022,"DEN","CAR",13,92,0,7.07692307692308,-1.02960955445972,-0.0792007349584403,0,0,2.50423913043478,3.28054738783771,9.26686269189489,46.1538461538462,1,1,6,0,100,0.03125,0.0123076923076923,4,2,1.3615492307581,6,6,NA,NA,14,98,0,9.8,10.8
"43","L.Murray",13,2022,"DEN","BAL",17,47,0,2.76470588235294,-4.82355214265408,-0.283738361332593,0,0,4.87468085106383,-0.763334304879041,72.9533663658874,23.5294117647059,4,4,14,0,100,0.19047619047619,-0.0416666666666667,-9,23,-0.409177194960648,3.5,3.5,NA,NA,21,61,0,6.1,10.1
"44","L.Murray",14,2022,"DEN","KC",8,32,0,4,0.196034409920685,0.0245043012400856,0,0,NA,NA,NA,NA,5,3,-1,0,60,0.116279069767442,-0.0398230088495575,-9,11,-0.603165464941412,-0.2,-0.333333333333333,NA,NA,11,31,0,3.1,6.1
"45","L.Murray",15,2022,"DEN","ARI",24,130,1,5.41666666666667,2.00077532138675,0.0833656383911148,0,0,3.00561538461539,0.646604249226231,98.9629960371409,20.8333333333333,1,1,12,0,100,0.0384615384615385,0.0172413793103448,2,10,0.33066403050907,12,12,NA,NA,25,142,1,20.2,21.2
"46","L.Murray",16,2022,"DEN","LA",8,34,0,4.25,-0.506273232167587,-0.0632841540209483,0,0,NA,NA,NA,NA,3,1,6,0,33.3333333333333,0.0882352941176471,-0.013550135501355,-5,12,-0.476976561437671,2,6,NA,NA,9,40,0,6,7
"47","L.Murray",17,2022,"DEN","KC",12,56,0,4.66666666666667,-0.924382518976927,-0.0770318765814106,0,0,3.17142857142857,-0.455307439216133,66.9273785411872,0,6,4,16,0,66.6666666666667,0.166666666666667,-0.069620253164557,-11,18,-0.426227668106246,2.66666666666667,4,NA,NA,16,72,0,7.2,11.2
"48","L.Murray",18,2022,"DEN","LAC",15,103,1,6.86666666666667,4.04198388924124,0.269465592616082,1,0,2.73815533980583,1.41300973190604,60.6097080428189,20,1,1,15,0,100,0.0454545454545455,-0.0185758513931889,-6,21,0.426841344975401,15,15,NA,NA,16,118,1,17.8,18.8
"49","C.Patterson",1,2022,"ATL","NO",22,120,1,5.45454545454545,2.39526598603697,0.108875726638044,0,0,3.18833333333333,0.235258653109175,109.648619263196,13.6363636363636,5,3,16,0,60,0.15625,0.0638297872340425,18,10,-0.0663191875689781,3.2,5.33333333333333,NA,NA,25,136,1,19.6,22.6
"50","C.Patterson",2,2022,"ATL","LA",10,41,0,4.1,-2.45000696886564,-0.245000696886564,0,0,4.07780487804878,-0.00800988358259431,41.1601976716519,10,1,0,0,0,0,0.04,0.0198019801980198,4,0,-6.9279374871985,0,NA,NA,NA,10,41,0,4.1,4.1
"51","C.Patterson",3,2022,"ATL","SEA",17,141,1,8.29411764705882,5.76205222692806,0.338944248642827,0,0,2.94957446808511,4.2122253145076,2.20878993575681,17.6470588235294,1,1,12,0,100,0.0526315789473684,-0.00649350649350649,-2,14,1.10532996954862,12,12,NA,NA,18,153,1,21.3,22.3
