"","player_name","season","team","games","total_carries","total_rushing_yards","total_rushing_tds","rushing_yards_per_carry","rushing_yards_per_game","total_rushing_epa","rush_epa_per_att","avg_efficiency","total_targets","total_receptions","total_receiving_yards","total_receiving_tds","catch_rate","total_touches","total_scrimmage_yards","total_scrimmage_tds","scrimmage_yards_per_game","total_fantasy_points","fantasy_points_per_game"
"1","A.Abdullah",2022,"LV",13,4,20,0,5,1.53846153846154,-0.311809271416516,-0.0779523178541289,NA,32,25,211,1,78.125,29,231,1,17.7692307692308,54.1,4.16153846153846
"2","A.Abdullah",2023,"LV",16,15,89,0,5.93333333333333,5.5625,2.60262565822679,0.173508377215119,NA,24,19,131,0,79.1666666666667,34,220,0,13.75,41,2.5625
"3","A.Abdullah",2024,"LV",13,66,311,2,4.71212121212121,23.9230769230769,-7.58153822137156,-0.114871791232902,3.19297324414716,47,40,261,3,85.1063829787234,106,572,5,44,125.2,9.63076923076923
"4","A.Armah",2023,"WAS",3,0,0,0,NA,0,0,NA,NA,3,3,13,0,100,3,13,0,4.33333333333333,4.3,1.43333333333333
"5","A.Dillon",2022,"GB",17,186,770,7,4.13978494623656,45.2941176470588,2.27966807100254,0.0122562799516265,3.92816443980913,43,28,206,0,65.1162790697674,214,976,7,57.4117647058824,167.6,9.85882352941177
"6","A.Dillon",2023,"GB",15,178,613,2,3.4438202247191,40.8666666666667,-23.4962760458746,-0.13200155081952,4.86396238564517,28,22,223,0,78.5714285714286,200,836,2,55.7333333333333,117.6,7.84
"7","A.Ekeler",2022,"LAC",18,217,950,15,4.3778801843318,52.7777777777778,-3.48850600757075,-0.0160760645510173,4.40406588852267,131,109,730,5,83.206106870229,326,1680,20,93.3333333333333,391,21.7222222222222
"8","A.Ekeler",2023,"LAC",14,179,628,5,3.50837988826816,44.8571428571429,-41.1234789901547,-0.22974010609025,5.28131296163675,74,51,436,1,68.9189189189189,230,1064,6,76,185.4,13.2428571428571
"9","A.Ekeler",2024,"WAS",15,99,456,4,4.60606060606061,30.4,0.743692977530044,0.00751205027808125,4.24640151515151,56,47,450,0,83.9285714285714,146,906,4,60.4,159.6,10.64
"10","A.Estime",2024,"DEN",13,76,310,2,4.07894736842105,23.8461538461538,-7.42971777551686,-0.0977594444146955,4.36155937846837,5,5,27,0,100,81,337,2,25.9230769230769,48.7,3.74615384615385
"11","A.Gibson",2022,"WAS",15,149,546,3,3.66442953020134,36.4,-15.689292970687,-0.105297268259644,4.56213562765414,58,46,353,2,79.3103448275862,195,899,5,59.9333333333333,165.9,11.06
"12","A.Gibson",2023,"WAS",16,65,265,1,4.07692307692308,16.5625,-6.73583069333108,-0.103628164512786,4.34428571428571,59,48,389,2,81.3559322033898,113,654,3,40.875,127.4,7.9625
"13","A.Gibson",2024,"NE",17,120,538,1,4.48333333333333,31.6470588235294,-10.6508576496562,-0.0887571470804687,5.0079534761701,29,23,206,0,79.3103448275862,143,744,1,43.7647058823529,103.4,6.08235294117647
"14","A.Jones",2022,"GB",17,213,1121,2,5.26291079812207,65.9411764705882,12.0849981251231,0.0567370803996389,4.00179892322643,72,59,395,5,81.9444444444444,272,1516,7,89.1764705882353,248.6,14.6235294117647
"15","A.Jones",2023,"GB",13,181,882,5,4.87292817679558,67.8461538461538,10.6532560350897,0.058857768149667,3.77131431532439,50,34,254,1,68,215,1136,6,87.3846153846154,183.6,14.1230769230769
"16","A.Jones",2024,"MIN",18,268,1186,5,4.42537313432836,65.8888888888889,-16.4632265690085,-0.06142994988436,4.05665261509535,68,54,420,2,79.4117647058823,322,1606,7,89.2222222222222,250.6,13.9222222222222
"17","A.Kamara",2022,"NO",15,223,897,2,4.02242152466368,59.8,-41.0502381516271,-0.184081785433306,4.02540571764864,77,57,490,2,74.025974025974,280,1387,4,92.4666666666667,211.7,14.1133333333333
"18","A.Kamara",2023,"NO",13,180,694,5,3.85555555555556,53.3846153846154,-3.14502008270938,-0.0174723337928299,4.00603748490344,86,75,466,1,87.2093023255814,255,1160,6,89.2307692307692,233,17.9230769230769
"19","A.Kamara",2024,"NO",14,228,950,6,4.16666666666667,67.8571428571429,-18.174864595851,-0.0797143184028555,4.66965032543803,89,68,543,2,76.4044943820225,296,1493,8,106.642857142857,265.3,18.95
"20","A.Mattison",2022,"MIN",18,74,283,5,3.82432432432432,15.7222222222222,0.382584990555188,0.00517006743993497,2.92851851851852,19,16,93,1,84.2105263157895,90,376,6,20.8888888888889,89.6,4.97777777777778
"21","A.Mattison",2023,"MIN",16,180,700,0,3.88888888888889,43.75,-31.7409543032685,-0.176338635018158,4.32903029227084,44,30,192,3,68.1818181818182,210,892,3,55.75,133.2,8.325
"22","A.Mattison",2024,"LV",14,132,420,4,3.18181818181818,30,-30.8919976790078,-0.234030285447029,5.88255468105926,48,36,294,1,75,168,714,5,51,137.4,9.81428571428571
"23","A.McFarland",2022,"PIT",1,6,30,0,5,30,0.771915463672485,0.128652577278748,NA,2,2,11,0,100,8,41,0,41,6.1,6.1
"24","A.McFarland",2023,"PIT",1,0,0,0,NA,0,0,NA,NA,2,2,11,0,100,2,11,0,11,3.1,3.1
"25","A.Shampklin",2024,"PIT",3,6,17,0,2.83333333333333,5.66666666666667,-2.41446994639547,-0.402411657732578,NA,0,0,0,0,NA,6,17,0,5.66666666666667,1.7,0.566666666666667
"26","A.Williams",2022,"ATL",14,22,109,1,4.95454545454545,7.78571428571429,0.220577496336773,0.0100262498334897,NA,14,13,61,0,92.8571428571429,35,170,1,12.1428571428571,36,2.57142857142857
