player_id,player_name,position,team,height,weight,years_exp,rookie_year,birth_date,college
00-0029592,Kevin Zeitler,OL,BAL,76,315,11,2012,1990-03-08,Wisconsin
00-0029597,Justin Tucker,K,BAL,73,183,11,2012,1989-11-21,Texas
00-0029604,Kirk Cousins,QB,MIN,75,202,11,2012,1988-08-19,Michigan State
00-0029606,Harrison Smith,DB,MIN,74,214,11,2012,1989-02-02,Notre Dame
00-0029607,Demario Davis,LB,NO,74,248,11,2012,1989-01-11,Arkansas State
00-0029621,Greg Zuerlein,K,NYJ,72,191,11,2012,1987-12-27,Missouri Western
00-0029653,Fletcher Cox,DL,PHI,76,310,11,2012,1990-12-13,Mississippi State
00-0029672,Riley Reiff,OL,NE,78,305,11,2012,1988-12-01,Iowa
00-0029685,Greg Van Roten,OL,LV,75,305,11,2012,1990-02-26,Pennsylvania
00-0029692,Bryan Anger,P,DAL,75,205,11,2012,1988-10-06,California
00-0029701,Ryan Tannehill,QB,TEN,76,207,11,2012,1988-07-27,Texas A&amp;M
00-0029709,Ty Nsekhe,OL,CLE,80,330,11,2012,1985-10-27,Texas State
00-0029714,Andrew DePaola,LS,MIN,73,230,11,2012,1987-07-28,Rutgers
00-0029764,Cody Davis,DB,NE,74,203,10,2013,1989-06-06,Texas Tech
00-0029822,Brandon McManus,K,JAX,75,201,10,2013,1991-07-25,Temple
00-0029890,Mike Purcell,DL,DEN,75,328,10,2013,1991-04-20,Wyoming
00-0029892,Kyle Juszczyk,RB,SF,74,240,10,2013,1991-04-23,Harvard
00-0029895,Ryan Jensen,OL,TB,76,319,10,2013,1991-05-27,Colorado State-Pueblo
00-0029959,Carson Tinker,LS,LA,72,233,10,2013,1989-11-15,Alabama
00-0029963,Christopher Hubbard,OL,TEN,76,295,10,2013,1991-04-23,Alabama-Birmingham
00-0030035,Adam Thielen,WR,CAR,74,200,10,2013,1990-08-22,Minn. State-Mankato
00-0030061,Zach Ertz,TE,DET,77,250,10,2013,1990-11-10,Stanford
00-0030062,Darius Slay,DB,PHI,72,190,10,2013,1991-01-01,Mississippi State
00-0030063,Johnathan Hankins,DL,DAL,74,340,10,2013,1992-03-30,Ohio State
